short_code,standard_code,stock_name,security_group_code,stock_base_price,regular_market_unit,after_hours_market_unit,trading_halt_yn,liquidation_yn,management_stock_yn,market_warning_code,market_warning_risk_yn,dishonest_disclosure_yn,bypass_listing_yn,lock_division_code,par_value_change_code,capital_increase_code,margin_rate,credit_order_yn,credit_period,prev_day_volume,stock_par_value,stock_listing_date,listed_shares_thousand,capital,settlement_month,public_offering_price,preferred_stock_code,short_sale_overheat_yn,unusual_rise_yn,krx300_stock_yn,sales,operating_profit,ordinary_profit,net_income,roe,base_year_month,prev_day_market_cap_billion,company_credit_limit_exceed_yn,collateral_loan_yn,securities_lending_yn
185190,KR7185190006,수프로,ST,000000899,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000011,000000000200,20131029,000000000009238,000000000001847725000,03,,0,,N,,000000278,000000004,000000003,00004,000000007,20250331,000000083,N,N,N
189350,KR7189350002,코셋,ST,000001499,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000001023,000000000500,20131224,000000000004800,000000000002400000000,12,,0,,N,,000000098,-00000016,-00000019,-0020,-00000081,20241231,000000071,N,N,N
191600,KR7191600006,블루탑,ST,000006880,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000000,000000000500,20160805,000000000002858,000000000001429464000,12,,0,,N,,000000450,000000004,-00000013,-0014,-00000010,20241231,000000196,N,N,N
199150,KR7199150004,데이터스트림즈,ST,000002795,00001,00001,N,N,N,02,N,N,N,00,00,00,100,N,090,000000005363,000000000500,20140625,000000000004268,000000000002134306500,12,,0,,N,,000000266,000000006,000000003,00006,000000000,20241231,000000119,N,N,N
199290,KR7199290008,바이오프로테크,ST,000000375,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000005035,000000000500,20161208,000000000016325,000000000008162596000,12,,0,,N,,000000265,000000004,000000000,00000,000000000,20241231,000000061,N,N,N
200580,KR7200580009,메디쎄이,ST,000012350,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000321,000000000500,20151020,000000000003726,000000000001863039500,12,,0,,N,,000000255,000000032,000000037,00025,000000000,20241231,000000460,N,N,N
202960,KR7202960001,판도라티비,ST,000000735,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000019032,000000000500,20140811,000000000011915,000000000005957791000,12,,0,,N,,000000167,000000013,000000022,00020,000000000,20241231,000000087,N,N,N
206950,KR7206950008,볼빅,ST,000001795,00001,00001,Y,N,N,00,N,N,N,00,00,00,100,N,090,000000000000,000000000500,20151230,000000000014077,000000000007038632500,12,,0,,N,,000000465,-00000017,-00000017,-0017,000000000,20241231,000000252,N,N,N
207490,KR7207490004,에이펙스인텍,ST,000006590,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000000,000000000500,20181128,000000000003600,000000000001800000000,12,,0,,N,,000000000,000000000,000000000,00000,000000000,20241231,000000237,N,N,N
208850,KR7208850008,이비테크,ST,000005000,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000003,000000001000,20160622,000000000002820,000000000002820250000,12,,0,,N,,000000107,000000015,000000018,00017,000000013,20241231,000000141,N,N,N
208890,KR7208890004,미래엔에듀파트너,ST,000001080,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000000,000000001000,20141218,000000000004005,000000000004005520000,12,,0,,N,,000000192,000000008,000000006,00008,000000000,20241231,000000043,N,N,N
212310,KR7212310007,오건에코텍,ST,000000635,00001,00001,Y,N,N,00,N,N,N,00,00,00,100,N,090,000000000000,000000000500,20160726,000000000011555,000000000005777937000,12,,0,,N,,000000232,-00000058,-00000066,-0066,000000000,20241231,000000073,N,N,N
215570,KR7215570003,크로넥스,ST,000001782,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000034343,000000000500,20151228,000000000005670,000000000002835237000,12,,0,,N,,000000045,-00000010,-00000017,-0017,-00000094,20241231,000000101,N,N,N
